Network,Authority ID,Account Address,Email,Twitter,Website,Riot
Tangle_Mainnet,tgGbEphcpSS12jpbCzxqbKj3LMb5YKrwZZXyRzvGYU9U1FZbe,tgGbEphcpSS12jpbCzxqbKj3LMb5YKrwZZXyRzvGYU9U1FZbe,,,,
Tangle_Mainnet,tgH1JQbMEHtFbwUvuvJc4bgcBGnyt8fmJj7yWNzhzBv5v2nPW,tgH1JQbMEHtFbwUvuvJc4bgcBGnyt8fmJj7yWNzhzBv5v2nPW,,,,
Tangle_Mainnet,tgFv9YhFFbby3KcYPAVUafALgs1NLeEkYUHtEiUDo6fEwdv2z,tgFv9YhFFbby3KcYPAVUafALgs1NLeEkYUHtEiUDo6fEwdv2z,,,,
Tangle_Mainnet,tgGYRjwz3bRJ75tDFQpxCLSLKauUDirhKnMtA4fHMoV5eDEyw,tgGYRjwz3bRJ75tDFQpxCLSLKauUDirhKnMtA4fHMoV5eDEyw,,,,
Tangle_Mainnet,tgH6CXu3FczHcthcZCopEUJrrG6mDqPw6d8Y9aJb8xACvubfq,tgH6CXu3FczHcthcZCopEUJrrG6mDqPw6d8Y9aJb8xACvubfq,,,,
Tangle_Mainnet,tgFLFit3Sj46sAm429EgjUsUattaxVtpR93xLt6PGtQgjBSdE,tgFLFit3Sj46sAm429EgjUsUattaxVtpR93xLt6PGtQgjBSdE,,,,
Tangle_Mainnet,tgE1Hu1SYB4XQ4GsUkgrT12rv6jhiRfpSQCbDtUBuqyVRgxXa,tgE1Hu1SYB4XQ4GsUkgrT12rv6jhiRfpSQCbDtUBuqyVRgxXa,,,,
Tangle_Mainnet,tgGppV9iz4oxiavACSKzvbnq85oFYiRF33ncvFNsXTvsYrBuD,tgGppV9iz4oxiavACSKzvbnq85oFYiRF33ncvFNsXTvsYrBuD,,,,
Tangle_Mainnet,tgFgxfqitk7ADTLUNMmCvFG3QWdge1LuY83RKfduySvmnQoLF,tgFgxfqitk7ADTLUNMmCvFG3QWdge1LuY83RKfduySvmnQoLF,,,,
Tangle_Mainnet,tgDkRLHYkW4hpCm2j911xDPMwzz2m31sfFzgfQRnAyb9u55Cz,tgDkRLHYkW4hpCm2j911xDPMwzz2m31sfFzgfQRnAyb9u55Cz,,,,
Tangle_Mainnet,tgDvpCUFkpgmMq2VsKd5xL5xornMDkv9igPFRDEgWkEcBNM1E,tgDvpCUFkpgmMq2VsKd5xL5xornMDkv9igPFRDEgWkEcBNM1E,,,,
Tangle_Mainnet,tgGj2wu2rHfETdUTepc3E1cwdnoMPtHGbzxHywASKKTQ7PPGo,tgGj2wu2rHfETdUTepc3E1cwdnoMPtHGbzxHywASKKTQ7PPGo,,,,
Tangle_Mainnet,tgD9wRg4oaSwzZjFjM32cHM7BM9YgDeKnyDhQMYaCpe2eRmPV,tgD9wRg4oaSwzZjFjM32cHM7BM9YgDeKnyDhQMYaCpe2eRmPV,,,,
Tangle_Mainnet,tgDc1rhm5Uyh5AAzeoPCx2aWugpyBa32z1AM7eDqyNHi1Jpq8,tgDc1rhm5Uyh5AAzeoPCx2aWugpyBa32z1AM7eDqyNHi1Jpq8,,,,
Tangle_Mainnet,tgFgeh7K4wc2nYNzWQA17yLfCu8xLRtr54d4ccAH4Qz23VspM,tgFgeh7K4wc2nYNzWQA17yLfCu8xLRtr54d4ccAH4Qz23VspM,,,,
Tangle_Mainnet,tgDWnLgP2GaU5c65A2TNkRRkijCcuREknRQ5dBfqkh8CqwjBh,tgDWnLgP2GaU5c65A2TNkRRkijCcuREknRQ5dBfqkh8CqwjBh,,,,
Tangle_Mainnet,tgDRbUxr3dV3j5pCW7DrpmswiABCMTN2NxioeDfA9TXLw6X1u,tgDRbUxr3dV3j5pCW7DrpmswiABCMTN2NxioeDfA9TXLw6X1u,,,,
